building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,14.012339,6.367431,30.941015,55.542295
10029,10.616037,6.317332,18.255632,74.513018
10056,14.220115,6.179461,31.763455,57.061750
10080,15.777741,7.280586,46.365765,44.711034
10085,15.868862,7.192792,46.183039,44.725667
10090,14.289772,6.618760,36.617204,51.196383
10117,15.464972,6.682106,44.116540,44.475395
10126,13.395547,6.636762,29.661137,61.092481
10145,10.648822,5.892590,16.560691,75.296574
10167,13.231429,6.814880,30.187673,60.853695
10177,16.617854,6.787653,49.088378,40.972129
10199,17.241288,6.977046,53.889584,37.674656
10203,16.803875,6.612298,51.215416,38.888004
10207,11.382380,6.614982,22.644718,69.827653
10219,14.156479,7.303288,37.307605,54.168465
10243,16.609494,6.202042,48.990305,38.130054
10249,16.121165,6.232155,45.976624,40.452693
10255,11.924784,7.226708,25.799710,67.970000
10260,13.662663,7.209783,33.642887,58.171109
10267,16.265207,7.476208,48.967021,43.159671
10276,13.207772,6.971696,30.486735,61.731792
10282,14.265234,6.788348,37.693189,51.453478
10292,11.179804,6.445345,20.075696,72.585014
10311,16.352129,6.581737,48.192443,41.000071
10318,17.494981,6.315942,56.695121,32.083465
10334,15.035180,7.194027,41.301356,48.994637
10350,16.618510,7.269805,50.722346,40.646770
10363,15.904776,6.929131,45.714803,44.589658
10372,15.670932,7.173795,44.871725,46.946160
10388,16.380233,6.662840,48.468555,40.798498
10405,17.722850,7.103782,57.466651,34.898477
10437,13.819695,7.791324,37.745023,55.792144
10464,15.158467,6.472392,39.014516,48.815773
10490,14.560444,7.092160,38.340568,52.984975
10498,15.246448,6.903405,40.618888,49.746490
10522,13.639473,6.788992,33.116397,56.140952
10538,16.134212,6.573604,46.491557,42.867039
10587,14.956069,6.713564,40.279059,48.070970
10594,11.579518,6.462615,21.647510,70.365193
10609,14.408941,6.656991,36.336163,52.794033
10618,15.148705,6.853492,39.460966,49.652904
10637,16.504166,7.140619,50.598978,40.680889
10653,13.929061,7.150422,35.397491,55.995639
10691,14.798192,6.693253,37.957473,50.223800
10701,17.361173,6.333963,53.384650,34.782122
10707,16.013307,6.656638,46.353112,41.994497
10714,14.427148,6.825873,37.059988,52.370470
10724,14.312192,6.859616,36.720448,53.282845
10739,13.265578,6.742276,30.010939,60.771361
10772,13.973635,7.210817,35.236599,55.938030
10786,17.223403,6.879287,53.377378,37.604753
10794,15.239155,7.067594,40.169059,50.912819
108,16.912468,6.737885,50.951863,39.130994
10821,18.947295,6.229169,64.825280,26.181380
10834,12.845581,6.727934,27.370597,64.288798
10849,12.913023,6.914530,28.957051,63.172161
10865,12.999401,7.024744,30.359635,61.768331
10874,17.572845,7.118094,55.628464,36.469371
10890,16.731157,7.160491,51.185421,40.362348
10905,17.505799,7.074211,55.770255,36.229311
10931,13.914901,7.155165,34.581714,57.313694
10946,13.117051,7.144086,30.702146,61.071932
10957,14.762016,6.762048,37.450850,51.886841
10970,17.118379,7.011317,53.414072,37.719848
10977,15.517858,6.821353,42.026727,47.018991
10985,18.170861,6.650993,59.391938,30.780564
10993,15.793173,7.215158,44.918470,46.382834
11009,13.739698,7.289776,35.548275,55.770960
1102,14.409323,7.576783,39.932546,52.796350
11038,15.629955,6.999162,43.243743,47.427461
11041,16.049982,6.979824,45.562929,44.999540
11057,14.727758,7.702079,40.522327,50.619773
11075,12.509463,7.359273,29.831924,63.599607
11090,11.394805,6.699519,23.240527,69.610825
11100,11.615867,6.914906,24.547510,68.928838
11117,16.033130,6.743660,44.311900,46.140737
11137,13.407427,6.892361,30.520685,60.287761
11164,15.143921,7.266144,42.272262,49.079477
11176,15.965445,7.002415,46.635163,43.826278
11198,13.725382,6.277039,29.555445,57.095536
1121,11.517160,6.645637,21.870098,70.687581
